Station,Latitude,Longitude,
Buick Creek Elementary School,56.759528,-121.274217,
Chetwynd Airport Westgate Road,55.688619,-121.617266,
Dawson Creek Northern Lights College,55.746417,-120.228385,
Fort Nelson Chalo School_60,58.746977,-122.663016,
Fort St John 85th Avenue_60,56.231792,-120.853895,
Fort St John Hospital,56.255632,-120.817171,
Fort St John Key Learning Centre,56.245411,-120.856273,
Fort St John Old Fort_60,56.201253,-120.823542,
Hudsons Hope Dudley Drive,56.023233,-121.920611,
Mackenzie,,,
Peace Valley Attachie Flat Upper Terrace_60,56.231213,-121.41944,
Prince George Denicola Ranch_60,,,
Prince George Exploration Place Trailer_60,53.905139,-122.734049,
Prince George Gladstone School,,,
Prince George Hwy 16/97 MAML,,,
Prince George Plaza 400,53.91472,-122.74194,
Prince George Plaza 400 URG,,,
Taylor Lone Wolf Golf Course,56.16013,-120.67594,
Taylor Willow Drive,,,
Tumbler Ridge Lions Flatbed Creek Campground,55.12083,-121.018929,
