Report Type : MultiStation,,,,,,,,,,,,,,,,,,,,,
Date,Time,Buick Creek Elementary School,Chetwynd Airport Westgate Road,Dawson Creek Northern Lights College,Fort Nelson Chalo School_60,Fort St John 85th Avenue_60,Fort St John Hospital,Fort St John Key Learning Centre,Fort St John Old Fort_60,Hudsons Hope Dudley Drive,Mackenzie,Peace Valley Attachie Flat Upper Terrace_60,Prince George Denicola Ranch_60,Prince George Exploration Place Trailer_60,Prince George Gladstone School,Prince George Hwy 16/97 MAML,Prince George Plaza 400,Prince George Plaza 400 URG,Taylor Lone Wolf Golf Course,Taylor Willow Drive,Tumbler Ridge Lions Flatbed Creek Campground
,,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25
,,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
5/23/2019,1:00 AM,,,,,7.5,,8.3,,,,8.7,,,,,13,,,,
5/23/2019,2:00 AM,,,,,7.7,,8.9,,,,8.9,,,,,10.2,,,,
5/23/2019,3:00 AM,,,,,11.7,,19,,,,10.4,,,,,9.1,,,,
5/23/2019,4:00 AM,,,,,15,,24.3,,,,10.2,,,,,10.5,,,,
5/23/2019,5:00 AM,,,,,15.4,,23.3,,,,11.2,,,,,14.4,,,,
5/23/2019,6:00 AM,,,,,4.8,,14.8,,,,11.4,,,,,14.4,,,,
5/23/2019,7:00 AM,,,,,4.2,,11.6,,,,8.9,,,,,10.9,,,,
5/23/2019,8:00 AM,,,,,4.8,,11.4,,,,6.7,,,,,9.3,,,,
5/23/2019,9:00 AM,,,,,6.2,,12.2,,,,9,,,,,9.9,,,,
5/23/2019,10:00 AM,,,,,8.5,,10.9,,,,10.9,,,,,13.6,,,,
5/23/2019,11:00 AM,,,,,13.6,,14.1,,,,18,,,,,11.7,,,,
5/23/2019,12:00 PM,,,,,16.3,,17.4,,,,15.5,,,,,12.9,,,,
5/23/2019,1:00 PM,,,,,14.1,,16.6,,,,12.2,,,,,15.6,,,,
5/23/2019,2:00 PM,,,,,12.9,,11.3,,,,11.8,,,,,13.6,,,,
5/23/2019,3:00 PM,,,,,12.2,,13.2,,,,8.6,,,,,9.2,,,,
5/23/2019,4:00 PM,,,,,21,,27.7,,,,6.3,,,,,9.1,,,,
5/23/2019,5:00 PM,,,,,45.6,,66.4,,,,18.3,,,,,9,,,,
5/23/2019,6:00 PM,,,,,46.5,,68.7,,,,51.2,,,,,9.9,,,,
5/23/2019,7:00 PM,,,,,48.4,,61.9,,,,61.3,,,,,10,,,,
5/23/2019,8:00 PM,,,,,48,,56.4,,,,53.9,,,,,9.9,,,,
5/23/2019,9:00 PM,,,,,48.3,,55.3,,,,47.8,,,,,5.8,,,,
5/23/2019,10:00 PM,,,,,46.4,,50.2,,,,46.6,,,,,4.7,,,,
5/23/2019,11:00 PM,,,,,44.2,,45.9,,,,44.5,,,,,4.5,,,,
5/23/2019,24:00 AM,,,,,44.1,,46.2,,,,43.2,,,,,4.5,,,,
Minimum,,,,,,4.2,,8.3,,,,6.3,,,,,4.5,,,,
MinTime,,1:00,1:00,1:00,1:00,7:00,1:00,1:00,1:00,1:00,1:00,4:00,1:00,1:00,1:00,1:00,11:00,1:00,1:00,1:00,1:00
Maximum,,,,,,48.4,,68.7,,,,61.3,,,,,15.6,,,,
MaxTime,,1:00,1:00,1:00,1:00,7:00,1:00,6:00,1:00,1:00,1:00,7:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00
Avg,,,,,,22.8,,29,,,,22.3,,,,,10.2,,,,
Num,,0,0,0,0,24,0,24,0,0,0,24,0,0,0,0,24,0,0,0,0
Data[%],,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0
STD,,,,,,17.2,,20.4,,,,18.1,,,,,3.1,,,,
