Report Type : MultiStation,,,,,,,,,,,,,,,,,,,,,
Date,Time,Buick Creek Elementary School,Chetwynd Airport Westgate Road,Dawson Creek Northern Lights College,Fort Nelson Chalo School_60,Fort St John 85th Avenue_60,Fort St John Hospital,Fort St John Key Learning Centre,Fort St John Old Fort_60,Hudsons Hope Dudley Drive,Mackenzie,Peace Valley Attachie Flat Upper Terrace_60,Prince George Denicola Ranch_60,Prince George Exploration Place Trailer_60,Prince George Gladstone School,Prince George Hwy 16/97 MAML,Prince George Plaza 400,Prince George Plaza 400 URG,Taylor Lone Wolf Golf Course,Taylor Willow Drive,Tumbler Ridge Lions Flatbed Creek Campground
,,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25
,,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
6/3/2019,1:00 AM,,,,,1.5,,,0.6,,,0.9,,,,,,,,,
6/3/2019,2:00 AM,,,,,1.4,,,0.6,,,0.7,,,,,,,,,
6/3/2019,3:00 AM,,,,,1.4,,,0.6,,,1,,,,,,,,,
6/3/2019,4:00 AM,,,,,1.4,,,0.5,,,0.6,,,,,8,,,,
6/3/2019,5:00 AM,,,,,1.5,,,0.5,,,0.7,,,,,14.8,,,,
6/3/2019,6:00 AM,,,,,1.7,,,0.6,,,0.7,,,,,40.5,,,,
6/3/2019,7:00 AM,,,,,3.1,,,0.5,,,0.5,,,,,4.6,,,,
6/3/2019,8:00 AM,,,,,2.8,,,0.4,,,0.4,,,,,3.2,,,,
6/3/2019,9:00 AM,,,,,2.2,,,0.6,,,0.3,,,,,5.4,,,,
6/3/2019,10:00 AM,,,,,1.4,,,0.2,,,0.1,,,,,2.5,,,,
6/3/2019,11:00 AM,,,,,1.7,,,2,,,0.1,,,,,2.3,,,,
6/3/2019,12:00 PM,,,,,1.5,,,0.4,,,0.1,,,,,1.6,,,,
6/3/2019,1:00 PM,,,,,1.3,,,0.2,,,0,,,,,1.5,,,,
6/3/2019,2:00 PM,,,,,1,,,0.2,,,0,,,,,1.5,,,,
6/3/2019,3:00 PM,,,,,1.8,,,0.3,,,0.3,,,,,1.5,,,,
6/3/2019,4:00 PM,,,,,1.7,,,0.6,,,0.8,,,,,1.8,,,,
6/3/2019,5:00 PM,,,,,1,,,0.8,,,0.7,,,,,2.1,,,,
6/3/2019,6:00 PM,,,,,0.9,,,0.7,,,0.3,,,,,2.1,,,,
6/3/2019,7:00 PM,,,,,1.2,,,0.6,,,0.1,,,,,4.3,,,,
6/3/2019,8:00 PM,,,,,1.4,,0.1,0.3,,,0.3,,,,,3.9,,,,
6/3/2019,9:00 PM,,,,,1.7,,0.6,0.4,,,0.1,,,,,3.2,,,,
6/3/2019,10:00 PM,,,,,1.4,,0.2,0.5,,,0,,,,,6.7,,,,
6/3/2019,11:00 PM,,,,,1.5,,0.4,0.8,,,0,,,,,4.7,,,,
6/3/2019,24:00 AM,,,,,1.3,,0.2,0.7,,,0,,,,,6.1,,,,
Minimum,,,,,,0.9,,0.1,0.2,,,0,,,,,1.5,,,,
MinTime,,1:00,1:00,1:00,1:00,6:00,1:00,8:00,10:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00,1:00
Maximum,,,,,,3.1,,0.6,2,,,1,,,,,40.5,,,,
MaxTime,,1:00,1:00,1:00,1:00,7:00,1:00,9:00,11:00,1:00,1:00,3:00,1:00,1:00,1:00,1:00,6:00,1:00,1:00,1:00,1:00
Avg,,,,,,1.6,,0.3,0.6,,,0.4,,,,,5.8,,,,
Num,,0,0,0,0,24,0,5,24,0,0,24,0,0,0,0,21,0,0,0,0
Data[%],,0,0,0,0,100,0,21,100,0,0,100,0,0,0,0,88,0,0,0,0
STD,,,,,,0.5,,0.2,0.3,,,0.3,,,,,8.3,,,,
