id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C47513812506783750,SF11E322458,63.632,-138.001,-9.0,,WF,20190524,,,,1024786325.431163,8.401232,9.913454,99.677939,1036.658445,4.824689,1.631042,0.671462,23.446235,1.106262,2151.3315601467293,320.19279094455123,364.97289216551155,,135.8881911,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,23.0,5.0,8.0,YT,,
SF11C47513912506783750,SF11E322515,63.06,-139.205,-9.0,,WF,20190524,,,,1504219413.9302661,5.226437,6.167196,53.241243,1096.974733,2.784396,0.890161,0.657261,12.796068,1.567428,1380.2584654910856,633.8991401552975,36.77555254485008,,80.73921219,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,23.0,5.0,8.0,YT,,
SF11C47528912506783750,SF11E318980,58.938,-127.363,-8.0,,WF,20190525,,,,750140557.818209,6.347358,7.489883,75.470287,774.928014,3.649166,1.234582,0.502912,17.74711,0.819677,1771.416714834578,233.93742062420517,279.23847451672685,,116.1741238,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
SF11C47531212506783750,SF11E323739,65.181,-137.08,-9.0,,WF,20190524,,,,5309709454.980612,6.632778,7.826678,65.416684,1503.03488,3.480386,1.099146,0.892874,15.800225,2.204852,1278.8421076424956,911.0956104350039,,,583.5442993,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,23.0,5.0,8.0,YT,,
SF11C47531312506783750,SF11E323789,64.906,-138.624,-9.0,,WF,20190524,,,,1345790628.180013,5.621271,6.6331,59.885325,1044.674434,3.059648,0.99464,0.635289,14.297957,1.422946,1409.8139511258828,551.8062527189356,96.44790654415186,,80.73921219,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,23.0,5.0,8.0,YT,,
SF11C47560012506783520,SF11E316757,58.398,-117.686,-7.0,,WF,20190525,,,,272323340376.499,393.77719,464.657084,4362.061261,64570.301237,218.466557,72.047481,39.940264,1035.682534,82.932738,98319.8192486919,30374.906469671223,10380.463946908782,,3899.770173,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47560112506783520,SF11E324186,30.921,-97.72,-5.0,,WF,20190525,,,,563102164.2933289,1.666302,1.966236,16.434129,377.595865,0.874351,0.27613,0.22431,3.969369,0.553908,304.1045120273668,228.88758208529967,,,143.7955633,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,6.0,19.0,5.0,8.0,TX,,
SF11C47560212506783520,SF11E317850,57.14,-117.846,-7.0,,WF,20190525,,,,314063464803.45245,352.716304,416.205239,3709.582879,68025.749603,190.794066,61.728475,41.17422,887.346828,94.100456,86590.63442455076,37004.81485943873,5009.694237633178,,3286.528749,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47560312506783520,SF11E323402,30.7,-109.791,-7.0,,WF,20190525,,,,48793572735.715675,152.780442,180.280922,1852.784968,16785.135282,88.731753,30.23062,11.115598,434.565161,16.097822,49682.5057562045,3835.2380702459345,7507.20986484639,,2252.498985,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,Unknown,,
SF11C47560412506783520,SF11E316757,58.35,-117.216,-7.0,,WF,20190525,,,,23417368846.55917,67.216799,79.315823,798.243807,8256.081216,38.619762,13.060166,5.352095,187.739881,8.77702,18312.15995632281,2525.2250731200206,2936.0967303291686,,827.2766919,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
