id,name,total_heat,total_area,total_nmhc,total_pm2.5,total_pm10,total_co,total_co2,total_ch4,total_nh3,total_so2,total_voc,total_nox
SF11E324801,,311949180373.6335,8781.0898686,,488.878566,576.8767079999999,5412.285679,80332.76831800002,271.14786200000003,89.401424,49.675309,1285.1454810000002,103.28871899999997
SF11E324476,,1035974531.0232219,270.0120498,,6.520446,7.694126,77.263409,809.716457,3.742119,1.264486,0.523863,18.176988,0.86859
SF11E324453,,63275148.657915995,20.90264418,,0.765393,0.903163,8.706674,113.749744,0.430283,0.143278,0.071403,2.059627,0.138332
SF11E319510,,3494605406620.2036,54212.81031402002,,4195.221838,4950.36177,45148.387561,756182.7673999999,2294.721047,748.776654,461.68734199999994,10763.664408,1016.3144160000002
SF11E324843,,1270914.8785090002,4.082180894,,0.056099,0.066197,0.60108,10.24832,0.03062,0.009975,0.006246,0.143392,0.013856
SF11E311078,,527848708.54403,77.07711044,,6.681369,7.884016,81.882547,689.870389,3.901613,1.334208,0.462698,19.179238,0.618073
SF11E324819,,1086172988.5938592,248.5262369,,2.650446,3.127527,26.140391,600.610069,1.390756,0.439217,0.356791,6.313742,0.881055
SF11E324799,,48103372.07151199,50.26864766,,0.163249,0.192634,1.610068,36.993435,0.085661,0.027053,0.021976,0.388883,0.054267
SF11E311052,,2356142796.1290746,503.2844716,,3.391176,4.001587,33.519088,764.693279,1.781246,0.563005,0.454506,8.093197,1.119952
SF11E323811,,,63.94345944,,,,,,,,,,
SF11E324862,,4405034628.523354,234.0508037,,26.233961,30.956074,306.099692,3503.013409,14.938052,5.019904,2.237631,72.161125,3.971615
SF11E324226,,2059389093.4728124,152.05135409000002,,12.815367,15.122133,146.438169,1870.6595249999998,7.220732999999999,2.4083259999999997,1.177568,34.619681,2.250215
SF11E324885,,,4.788902284,,,,,,,,,,
SF11E324833,,883968592.7464352,115.6156657,,10.878102,12.836161,133.377553,1119.969795,6.353861,2.173145,0.751621,31.238961,1.000027
SF11E324846,,53116123.92087098,73.78566677,,0.365483,0.43127,4.224845,50.846168,0.207131,0.069373,0.032257,0.997235,0.059305
SF11E324793,,70034355.878988,127.5113187,,1.094464,1.291467,13.620473,102.312353,0.644251,0.2215,0.070127,3.18406,0.080447
SF11E324881,,152268104.38328505,167.2359798,,2.681783,3.164504,33.636855,237.171458,1.585115,0.546471,0.164666,7.855515,0.170812
SF11E317813,,,19.15560914,,,,,,,,,,
SF11E324824,,12803541071.214863,2971.076491,,13.349231,15.752092,137.800896,2708.371862,7.156723,2.299378,1.629219,33.053563,3.821651
SF11E324835,,92090776.32902,36.83599915,,1.387774,1.637573,16.997926,143.793563,0.810155,0.276987,0.096372,3.981694,0.129355
SF11E321990,,11675674.337565001,32.8205367,,0.306452,0.361613,3.859305,26.299302,0.181519,0.062667,0.018391,0.90084,0.017958
