id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C47707613428228330,SF11E324801,63.923,-146.083,-9.0,,WF,20190526,,,,100932164271.6195,126.246234,148.970556,1351.278864,23135.418258,68.872404,22.428245,14.094698,322.406023,31.322313,34679.64220788196,12078.798267113842,2303.545628544365,,1910.974638,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,22.0,5.0,8.0,Unknown,,
SF11C47709613428228330,SF11E324801,64.017,-146.196,-9.0,,WF,20190526,,,,70586474040.01588,122.770415,144.869089,1392.259226,18467.755376,68.911552,22.920957,11.570843,329.488763,22.620678,32521.74830877182,7870.329063037645,3936.652640401344,,1757.326983,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,22.0,5.0,8.0,Unknown,,
SF11C47709713428228330,SF11E324801,63.965,-146.184,-9.0,,WF,20190526,,,,114779847316.9622,164.899054,194.580884,1824.175937,27168.031602,91.423903,30.135399,16.793526,433.196357,34.978873,43148.787761953165,12843.357822007183,4292.893028282193,,3708.564971,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,22.0,5.0,8.0,Unknown,,
SF11C47709813428228330,SF11E324801,63.943,-145.982,-9.0,,WF,20190526,,,,594664357.2107091,1.739955,2.053147,17.16055,394.28634,0.912999,0.288335,0.234225,4.144823,0.578392,361.8976566919522,239.0048019224274,,,153.0793125,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,22.0,5.0,8.0,Unknown,,
SF11C47714713428228330,SF11E324796,60.82,-137.647,-9.0,,WF,20190526,,,,74179123147.59201,85.17833,100.51043,881.676662,17157.694182,45.724824,14.705895,10.330072,211.397241,24.144298,19109.8427213983,9638.339834474547,902.550492847035,,1179.700857,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,YT,,
SF11C47714813428228330,SF11E324838,59.859,-124.262,-8.0,,WF,20190527,,,,6369520261.537747,18.055162,21.305092,178.888317,4049.319462,9.494219,3.003597,2.40819,43.176705,5.919955,4177.46469361657,2439.612496674045,17.723832045056497,,183.6215376,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,BC,,
SF11C47716613428228330,SF11E322458,63.625,-137.923,-9.0,,WF,20190526,,,,1833700775.4735365,7.349557,8.672477,77.578626,1402.917226,3.98256,1.290241,0.850245,18.547221,1.932501,1770.4621889410505,757.0915672727782,110.50564250009174,,80.73921219,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,23.0,5.0,8.0,YT,,
SF11C47716813428228330,SF11E318980,58.988,-127.393,-8.0,,WF,20190527,,,,1560502797.565993,6.307984,7.443421,66.531539,1206.814478,3.41685,1.106641,0.731189,15.907965,1.663914,1567.474463562235,652.4103357043962,93.70107902495454,,74.60605663,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
SF11C47717113428228330,SF11E318980,58.933,-127.374,-8.0,,WF,20190527,,,,1525444736.6270692,7.086999,8.362658,77.470057,1215.516632,3.906202,1.281961,0.747127,18.428192,1.596464,1797.9870330760355,598.0344932352903,164.340330548146,,93.66035256,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
SF11C47717213428228330,SF11E325067,56.424,-124.376,-8.0,,WF,20190527,,,,404241212.7751341,2.647072,3.123545,30.412243,377.898223,1.495554,0.49979,0.238731,7.184487,0.44827,643.3091327461354,150.18455138019615,93.4179871087746,,75.25347273,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
