id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C48162111812876040,SF11E324838,59.863,-124.23,-8.0,,WF,20190530,,,,337252281861.3228,317.412144,374.54633,3186.346539,69049.818092,167.936072,53.392449,41.203532,767.516459,99.915902,71711.30048683539,40833.04838956959,1211.3736625559388,,2937.388614,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,BC,,
SF11C48167111812876040,SF11E328052,62.974,-140.988,-9.0,,WF,20190529,,,,3807184206.7752457,12.578498,14.842628,136.762376,2195.372194,6.914758,2.26485,1.346183,32.557225,2.9074,3117.8620626317233,1097.9630970676606,275.6931549293072,,289.5704407,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,23.0,5.0,8.0,YT,,
SF11C48169211812876040,SF11E325447,60.684,-120.245,-8.0,,WF,20190530,,,,390494450399.3222,355.439895,419.419076,3533.968348,79081.41514,187.211145,59.304656,47.072033,852.504429,115.307532,88634.54210829735,47416.568249732976,616.1194499960461,,3073.689471,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,NT,,
SF11C48169811812876040,SF11E326439,60.312,-126.184,-8.0,,WF,20190530,,,,290744441017.3719,334.522045,394.736013,3548.035642,62980.18127,181.690076,58.967551,38.236112,847.658545,86.25797,76174.4416472431,33618.41155972125,5398.025708667508,,5082.055753,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,YT,,
SF11C48169911812876040,SF11E326439,60.316,-126.161,-8.0,,WF,20190530,,,,50632383123.93263,68.730308,81.101763,739.125349,12416.408065,37.581028,12.25953,7.578589,176.230743,16.704476,15872.519298379702,6403.889894774115,1329.3646920186566,,1175.079987,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,YT,,
SF11C48175211812876040,SF11E324796,60.824,-137.645,-9.0,,WF,20190529,,,,7701210922.128721,18.68864,22.052595,190.911549,3895.120963,9.969585,3.190585,2.335693,45.864654,5.551445,4719.644173512641,2240.313373736173,143.047164497443,,305.6495879,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,YT,,
SF11C48175711812876040,SF11E325854,59.567,-128.633,-8.0,,WF,20190530,,,,3015640722.7808022,9.399498,11.091407,93.764107,2075.331966,4.9584,1.572687,1.236353,22.607373,3.018248,2439.1032331683427,1238.577501968307,23.007031371160654,,120.7554576,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,BC,,
SF11C48175911812876040,SF11E324801,63.902,-146.099,-9.0,,WF,20190529,,,,42825675508.599266,67.794267,79.997235,739.407318,11713.819299,37.325366,12.23951,7.192689,175.94296,15.439399,16702.243597583976,5803.672349486583,1535.806563176414,,809.8088125,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,22.0,5.0,8.0,Unknown,,
SF11C48178011812876040,SF11E328047,64.88,-151.154,-10.0,,WF,20190529,,,,3263575141.7275805,15.21278,17.95108,167.051598,2570.210768,8.403678,2.762566,1.583106,39.71188,3.351105,3709.3718076516907,1246.2356341444713,369.1789118413067,,135.0628591,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,23.0,5.0,8.0,Unknown,,
SF11C48178111812876040,SF11E324801,64.039,-146.172,-9.0,,WF,20190529,,,,28254854957.094505,48.625712,57.37834,512.842406,9304.005273,26.338566,8.530332,5.637057,122.623521,12.828693,12370.934869259174,5030.282446897846,721.8164964506133,,540.0240996,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,23.0,5.0,8.0,Unknown,,
