id,name,total_heat,total_area,total_nmhc,total_pm2.5,total_pm10,total_co,total_co2,total_ch4,total_nh3,total_so2,total_voc,total_nox
SF11E330517,,3287964168.4762244,176.2281446,,12.872721,15.189811,137.978593,2348.944661,7.027419,2.289672,1.431837,32.914034,3.174215
SF11E326439,,335196233582.7971,5598.6641463900005,,441.36708899999996,520.813166,4705.328544,81855.205645,240.31685799999997,78.14326700000001,49.79120399999999,1123.309466,111.395598
SF11E325854,,4190238939.888973,155.88642956,,16.14145,19.04691,167.784989,3215.0355360000003,8.682405000000001,2.796814,1.938291,40.204204000000004,4.504636
SF11E324838,,1662698733.8853667,134.42285618,,9.920856,11.70661,109.16533799999999,1664.5685250000001,5.485926,1.804765,1.0262769999999999,25.943491,2.16289
SF11E318980,,33261130129.96066,937.493105,,78.21814900000001,92.297415,855.840371,13373.465254,43.132338000000004,14.160387,8.223671,203.555554,17.538234
SF11E330599,,169015866.904607,20.90264418,,1.132096,1.335873,11.39666,244.621024,0.599763,0.190888,0.146081,2.744009,0.353146
SF11E330575,,1150050011.953948,114.7285573,,4.414196,5.208752,46.469264,849.04697,2.388859,0.773153,0.514078,11.114075,1.173208
SF11E326547,,6205771831.185969,245.9983489,,35.4387,41.817666,412.840632,4766.176501,20.163031,6.771863,3.040798,97.345534,5.431377
SF11E330638,,9979607830.304731,731.0711539,,22.510623,26.562535,258.120459,3239.638278,12.705662,4.243041,2.043936,60.993711,3.862649
SF11E329989,,5483906640.695384,1014.80743654,,13.133733999999999,15.497805999999999,143.45087500000002,2258.687277,7.236115,2.374076,1.387805,34.127357999999994,2.970405
SF11E329262,,1287196010.076531,79.30352992,,4.648807,5.485592,47.809991,952.381365,2.487876,0.798213,0.572245,11.474307,1.348772
SF11E331283,,5121455639.898766,441.3870447,,29.451651,34.752948,357.974202,3193.886218,17.124987,5.839103,2.120615,83.937108,3.021893
SF11E328398,,5712192126658.515,82995.51907242993,,7783.381311000004,9184.389945999996,84397.69650600004,1370255.9923580003,4273.083351,1398.2062340000004,839.2464980000002,20099.214612,1821.9913399999996
SF11E319510,,161627116619.38965,3253.2807202499994,,292.572807,345.235911,3131.710766,53607.954056,159.61402,51.979118,32.659981,747.1998159999999,72.573473
SF11E317850,,659932561119.8105,8501.9546892,,915.974855,1080.850329,9843.009969000002,165854.95890199998,500.66301200000004,163.27905799999996,101.20209,2347.1364620000004,223.36185500000002
SF11E316757,,1859534061887.2102,34080.44302538002,,3469.2789690000004,4093.7491860000005,39594.740901,508879.7422709999,1953.5566729999998,651.2836169999996,320.09036199999986,9362.201949999999,613.962854
SF11E326405,,24948320538.02628,522.225099,,68.137333,80.402053,720.497098,12940.894849999999,36.953526999999994,11.979790999999999,7.8478840000000005,172.20949000000002,17.78877
SF11E329373,,1598092957.5327861,105.5337661,,4.834383,5.704572,47.679768,1095.505762,2.536723,0.801126,0.650782,11.516191,1.607034
SF11E331166,,,117.7086482,,,,,,,,,,
SF11E331261,,12944510.137371,73.03446641,,0.257935,0.304363,3.241683,22.477109,0.152617,0.052652,0.015661,0.756869,0.015779
SF11E322869,,356389658.09147006,382.5339561,,3.632399,4.28623,45.435494,327.668804,2.143907,0.738409,0.226441,10.614624,0.24386
SF11E331250,,227259120.169965,99.41049478,,0.689562,0.813684,6.800904,156.259764,0.361831,0.11427,0.092826,1.642636,0.229223
SF11E331284,,47224595.45557601,50.26864766,,0.168204,0.198481,1.68335,36.857387,0.088865,0.02822,0.021976,0.40567,0.053466
SF11E331272,,10112023290.59375,316.6012984,,21.154417,24.962212,208.638347,4793.742067,11.100257,3.505589,2.84771,50.392844,7.0321
SF11E331240,,2126033250.696393,72.34751345,,6.719336,7.928817,66.270379,1522.649632,3.525806,1.11349,0.904526,16.006419,2.233626
SF11E330155,,11305.291026,0.67459769,,0.002191,0.002585,0.021607,0.496446,0.00115,0.000363,0.000295,0.005219,0.000728
SF11E331264,,1147260.361154,3.632449101,,0.041288,0.04872,0.407206,9.356098,0.021665,0.006842,0.005558,0.098353,0.013725
SF11E331216,,190420203.14742902,55.34172113,,0.629034,0.74226,6.203937,142.543655,0.33007,0.10424,0.084678,1.498449,0.209102
SF11E325474,,6830555224.841973,502.3108764,,14.398035,16.989681,156.356334,2522.703623,7.910322,2.589783,1.546087,37.228126,3.346952
SF11E331174,,6248453.654824998,12.246542682000001,,0.172081,0.20305499999999999,1.8592080000000002,30.641109,0.094306,0.030816999999999997,0.018737999999999998,0.442997,0.040956
SF11E330015,,4376455.100468,32.8205367,,0.121144,0.14295,1.529161,10.214646,0.071844,0.024823,0.007174,0.356834,0.006745
SF11E327308,,5730465199.349699,862.7733799,,5.907761,6.971158,58.266106,1338.740887,3.099952,0.979,0.795276,14.073131,1.963844
SF11E331279,,888402433.399984,287.5911266,,1.987471,2.345215,19.601703,450.375057,1.042876,0.329352,0.267544,4.734439,0.66067
SF11E324842,,25528955.209025998,22.34821066,,0.154777,0.182637,1.543286,34.20848,0.081631,0.025887,0.020377,0.372125,0.049768
SF11E311052,,7007694926.465566,1006.568943,,6.956147,8.208254,68.60596,1576.312699,3.650066,1.152733,0.936404,16.570537,2.312346
SF11E329385,,888402433.399984,287.5911266,,1.987471,2.345215,19.601703,450.375057,1.042876,0.329352,0.267544,4.734439,0.66067
SF11E331239,,37284971.71474599,127.5113187,,0.731082,0.862677,9.19888,63.154317,0.43284,0.149387,0.044094,2.14744,0.043646
SF11E331311,,211835054.90010202,215.693345,,0.94142,1.110876,10.472224,152.120249,0.523378,0.172867,0.094294,2.484962,0.193893
SF11E324851,,574992016.906668,171.71105817,,1.910901,2.254862,19.335157,407.83255199999996,1.014793,0.323602,0.24388900000000002,4.651781,0.5862229999999999
SF11E330118,,239619517.02128506,38.53855522,,3.60375,4.252424,44.190335,370.802904,2.105046,0.719992,0.248881,10.349886,0.330854
SF11E321181,,28245525.405741006,70.47692572,,0.611072,0.721065,7.706042,51.900612,0.362213,0.125109,0.036386,1.798439,0.034757
SF11E329230,,14948891282.424288,359.8348558,,30.053981,35.463698,301.764213,6534.493494,15.902583,5.056382,3.899505,72.685493,9.453773
SF11E331266,,3689663309.916429,187.7086606,,10.227456,12.068398,100.869692,2317.614647,5.366605,1.694836,1.376773,24.363262,3.399786
SF11E331193,,3716184983.5485787,187.7086606,,10.300972,12.155147,101.594754,2334.273896,5.405181,1.707018,1.386669,24.538388,3.424224
SF11E331191,,689981.7974159999,2.817001343,,0.032019,0.037783,0.315792,7.25575,0.016801,0.005306,0.00431,0.076274,0.010644
SF11E330559,,11502092494.761353,381.9656137,,27.61309,32.583447,293.499398,5166.361738,15.013114,4.876376,3.139064,70.097907,7.057275
SF11E331188,,1105185417.0788913,194.2569532,,8.932354,10.540178,106.697083,1065.202677,5.147465,1.744345,0.69431,25.074964,1.104252
