id,name,total_heat,total_area,total_nmhc,total_pm2.5,total_pm10,total_co,total_co2,total_ch4,total_nh3,total_so2,total_voc,total_nox
SF11E320765,,38159747602.98551,2333.7966547,,119.35850599999999,140.84303699999998,1441.540819,13419.109153000001,69.17412,23.533187,8.84604,338.289566,13.171151
SF11E320070,,2984358768.34648,149.21211326,,12.806393,15.111543000000001,136.87259,2357.207684,6.98143,2.272264,1.435251,32.663801,3.19747
SF11E318980,,9729622697.923857,434.2185176,,31.0772,36.671096,354.104353,4588.279722,17.485303,5.825871,2.883117,83.746902,5.557776
SF11E321950,,262712858.02466,72.94303742,,0.829097,0.978335,8.177086,187.87936,0.435048,0.137393,0.111609,1.975028,0.275607
SF11E322034,,256733157413.01413,3645.560512,,247.69563900000003,292.280853,2474.5458830000002,54499.789486999995,130.754719,41.495618,32.480033999999996,596.499512,79.16857999999999
SF11E317813,,,57.466827408,,,,,,,,,,
SF11E321962,,4665225554.145879,391.4519893,,11.404599,13.457427,122.212665,2082.57557,6.225216,2.028117,1.269345,29.154177,2.815166
SF11E322466,,,62.25572969,,,,,,,,,,
SF11E322512,,8361378252.735978,426.4890613,,30.53791,36.034734,353.629013,4216.371187,17.322218,5.805281,2.678207,83.45091,4.892864
SF11E322478,,561716014.871215,145.8860748,,1.658195,1.95667,16.354171,375.75872,0.870097,0.274787,0.223218,3.950056,0.551213
SF11E321976,,574406699.692003,372.7831778,,5.438182,6.417055,67.683827,508.047437,3.201318,1.10068,0.348277,15.822274,0.399095
SF11E322006,,274175286.336609,189.5397114,,3.893588,4.594433,48.41395,366.108584,2.290921,0.787406,0.250608,11.318962,0.290332
SF11E321658,,25325694.492775,80.85782277,,0.4649,0.548582,5.823899,41.486459,0.274609,0.094631,0.028743,1.360319,0.030334
SF11E322455,,256520586.14150494,120.9383156,,2.22663,2.627424,26.546606,268.135192,1.281894,0.434108,0.174456,6.240299,0.28033
SF11E322539,,372330874.106959,334.4719595,,4.611795,5.441918,57.925062,403.701806,2.727877,0.940896,0.280971,13.525386,0.285659
SF11E320576,,15799343955.805182,1345.0365969,,26.830005,31.659406,297.495474,4384.728214,14.892308,4.913022,2.713504,70.624696,5.621897000000001
SF11E322546,,372680070.522438,61.73680839,,1.216214,1.435132,12.036035,273.491199,0.639192,0.202126,0.162602,2.905556,0.400184
SF11E317850,,537447087923.931,7730.138328849998,,769.025296,907.449849,8201.562562000001,142460.595438,418.7987399999999,136.199075,86.669154,1957.8617050000003,193.77827200000004
SF11E319510,,179529693547.77783,3949.596502,,259.703485,306.450112,2877.251069,42565.257713,144.092454,47.522202,26.33072,683.13165,54.656663
SF11E316757,,802346952695.3782,25956.245747560002,,1942.9126250000006,2292.636901,22729.913278999997,256349.90031700008,1107.808758,372.6291809999999,164.08558000000005,5356.544490000002,288.138453
SF11E321160,,456964588.913121,98.99288668,,2.772124,3.271106,31.661954,405.392051,1.561577,0.520746,0.255117,7.48572,0.488198
SF11E322493,,3309622878.2365236,384.2809912,,13.768789,16.247171,160.368031,1853.346793,7.833068,2.630599,1.182256,37.814859,2.113279
SF11E322515,,15868671041.301819,581.9381144,,32.909349,38.833032,365.236336,5361.13116,18.27494,6.030968,3.319277,86.69516,6.86245
SF11E320618,,14914384.688069,18.162245501,,0.206438,0.243598,2.0360300000000002,46.78049,0.108323,0.03421,0.027790000000000002,0.49176699999999995,0.068624
SF11E322460,,1147260.361154,3.632449101,,0.041288,0.04872,0.407206,9.356098,0.021665,0.006842,0.005558,0.098353,0.013725
SF11E322540,,18356165.768377002,14.5297964,,0.165151,0.194878,1.628824,37.424392,0.086659,0.027368,0.022232,0.393413,0.054899
SF11E322440,,1373303993.5462637,276.7086056,,3.145171,3.711302,31.019684,712.718274,1.650351,0.5212,0.423388,7.492247,1.04551
SF11E322433,,4589041.443356,7.264898201,,0.082575,0.097439,0.814412,18.712196,0.043329,0.013684,0.011116,0.196707,0.02745
SF11E322553,,10325343.244713001,10.8973473,,0.123863,0.146159,1.221618,28.068294,0.064994,0.020526,0.016674,0.29506,0.041174
SF11E322514,,18356165.768377002,14.5297964,,0.165151,0.194878,1.628824,37.424392,0.086659,0.027368,0.022232,0.393413,0.054899
