id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C47407211715016140,SF11E322034,62.984,-141.08,-9.0,,WF,20190523,,,,342306590593.8646,320.56779,378.269993,3225.405985,69355.75366,169.788376,54.028082,41.411526,776.653684,100.169129,77295.04049462773,40873.070818453154,1383.5861896204433,,4725.949717,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,22.0,5.0,8.0,Unknown,,
SF11C47408211715016140,SF11E322458,63.634,-137.901,-9.0,,WF,20190523,,,,24524663036.71737,55.10785,65.027263,636.667222,7685.132755,31.222508,10.455005,4.873494,150.290702,8.978091,13866.48802514621,2951.4876784268586,2021.4661597434522,,840.1780638,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,23.0,5.0,8.0,YT,,
SF11C47408311715016140,SF11E322515,63.055,-139.203,-9.0,,WF,20190523,,,,18173778526.671124,36.459517,43.02223,407.034904,5815.85368,20.305746,6.715622,3.611847,96.53706,7.362322,9243.188491177727,2655.9754234479246,1029.5826296627095,,649.8822099,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,23.0,5.0,8.0,YT,,
SF11C47415111715016140,SF11E322895,66.065,-134.754,-8.0,,WF,20190524,,,,561716014.871215,1.658195,1.95667,16.354171,375.75872,0.870097,0.274787,0.223218,3.950056,0.551213,292.8521604050987,227.7739025697181,,,145.8860748,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,23.0,5.0,8.0,YT,,
SF11C47416111715016140,SF11E320070,58.207,-120.493,-8.0,,WF,20190524,,,,1500713738.2474349,6.452766,7.614263,68.9957,1186.20098,3.518471,1.145348,0.722372,16.464377,1.608142,1611.6732746322764,620.9273375802533,116.18656299479335,,74.60605663,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,21.0,5.0,8.0,BC,,
SF11C47416211715016140,SF11E322881,64.231,-134.736,-8.0,,WF,20190524,,,,813762187.04585,5.534429,6.530626,63.918315,772.92264,3.135113,1.04968,0.49003,15.08915,0.903824,1329.3223098121475,297.48443883173616,202.54586245577542,,76.22706793,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,23.0,5.0,8.0,YT,,
SF11C47417811715016140,SF11E320765,65.354,-154.622,-10.0,,WF,20190523,,,,786945429.580691,8.173222,9.644402,99.042015,901.840625,4.74497,1.61616,0.596709,23.232306,0.868751,2383.487986167715,208.91656353454658,399.9705492377068,,134.9491907,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,23.0,5.0,8.0,Unknown,,
SF11C47418211715016140,SF11E322855,63.602,-141.637,-9.0,,WF,20190523,,,,2443294314.4163575,8.451386,9.972635,86.962121,1729.076931,4.523996,1.451765,1.039093,20.869128,2.447508,2205.1592210363424,981.9823668537376,78.31617555036398,,134.9491907,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,22.0,5.0,8.0,Unknown,,
SF11C47418311715016140,SF11E322996,63.367,-141.546,-9.0,,WF,20190523,,,,6431219397.797129,18.815777,22.202617,197.523458,3647.704268,10.168928,3.287737,2.20644,47.261213,5.056477,4453.358539846415,1992.157638591307,259.3115490539442,,270.1257183,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,3.0,22.0,5.0,8.0,Unknown,,
SF11C47422011715016140,SF11E322942,63.674,-135.433,-9.0,,WF,20190523,,,,465092976.3728121,4.653362,5.490967,55.917513,537.753882,2.689846,0.913456,0.352607,13.130932,0.541874,1269.4958451133962,142.3097787860605,217.49320820209644,,67.94409556,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,YT,,
SF11C47426911715016140,SF11E322857,49.068,-122.574,-8.0,,WF,20190524,,,,36830960.351551995,0.233936,0.276044,2.307224,53.011524,0.122752,0.038767,0.031491,0.557269,0.077764,41.31518080188974,32.13402951715455,,,20.58140718,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,20.0,5.0,8.0,BC,,
SF11C47460011715016370,SF11E322055,26.77,-107.54,-7.0,,WF,20190524,,,,250854035.93187898,0.796236,0.939558,7.852983,180.43267,0.417805,0.131948,0.107186,1.896747,0.264683,197.28605517835808,109.37298630571725,,,70.05190446,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,6.0,20.0,5.0,8.0,Unknown,,
SF11C47460111715016370,SF11E323508,35.62,-119.65,-7.0,,WF,20190524,,,,210125273.56366295,0.666056,0.785946,6.651093,146.704336,0.351527,0.11154,0.087421,1.603384,0.213184,180.22550597383676,87.42488028885339,1.7798368703991068,,93.99888693,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,CA,,
SF11C47460211715016370,SF11E320576,27.495,-107.4,-7.0,,WF,20190524,,,,536704204.13283813,1.592471,1.879116,15.705966,360.865339,0.83561,0.263895,0.214371,3.793494,0.529365,345.0289600629232,218.7459725802082,,,140.1038089,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,6.0,20.0,5.0,8.0,Unknown,,
SF11C47460311715016370,SF11E323510,26.618,-107.953,-7.0,,WF,20190524,,,,29318237164.403496,63.257502,74.643852,719.525706,9403.974467,35.560261,11.840755,5.902776,170.210856,11.438373,15040.134773775695,3947.9304994605823,2075.3106640091655,,714.0999563,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,Unknown,,
SF11C47460411715016370,SF11E316757,58.216,-117.412,-7.0,,WF,20190524,,,,78621980402.39294,206.417991,243.57323,2467.888234,24501.208966,119.007923,40.341682,15.98411,579.911682,25.295336,57486.51084670465,6934.8991691685915,9375.417058813578,,2945.085947,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47460511715016370,SF11E316757,58.62,-117.91,-7.0,,WF,20190524,,,,481762322.1734119,5.132844,6.056756,62.076422,572.688042,2.976839,1.013218,0.37809,14.565015,0.557885,1470.0283213749453,137.28372505284898,248.52206531090349,,74.74196459,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47460611715016370,SF11E319510,59.3,-112.187,-7.0,,WF,20190524,,,,531738218370.7582,676.288483,798.02041,7349.601005,118214.979935,371.688661,121.721144,72.47341,1749.741445,156.667386,165672.882901934,59205.38747047464,14747.06502224454,,9388.193196,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47460711715016370,SF11E317850,57.058,-118.061,-7.0,,WF,20190524,,,,343541930498.4211,469.492256,554.000862,5155.097342,79341.652104,259.341916,85.251806,48.868256,1225.494713,103.460812,114939.62250853461,38480.736641061274,11384.829255705043,,4877.632884,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47460811715016370,SF11E317850,57.129,-117.997,-7.0,,WF,20190524,,,,69577550574.59248,87.956125,103.788227,894.633774,18531.56557,46.824977,14.961178,11.098453,215.066936,26.515469,20796.21645937353,10735.722715836213,589.2290418291665,,688.5097231,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47460911715016370,SF11E316757,58.611,-117.758,-7.0,,WF,20190524,,,,272077187880.0025,411.48573,485.553162,4594.807778,65588.220858,229.196713,75.806966,40.737125,1089.725136,82.994493,101853.83749199273,29927.445560742955,11641.049930657717,,4212.981185,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47461011715016370,SF11E316757,58.62,-117.69,-7.0,,WF,20190524,,,,3581343286.688162,12.642198,14.917794,129.866006,2597.731894,6.76192,2.168557,1.560313,31.173007,3.683046,2851.7961743439428,1479.7412876280396,112.41475315751835,,88.98511875,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C47461111715016370,SF11E317850,57.13,-117.868,-7.0,,WF,20190524,,,,137732142326.82544,153.79027,181.472519,1585.575506,31303.164387,82.40065,26.462172,18.823142,380.39372,44.224432,36869.15966474759,17714.428653270952,1492.8589893843277,,1259.548019,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
