id,name,total_heat,total_area,total_nmhc,total_pm2.5,total_pm10,total_co,total_co2,total_ch4,total_nh3,total_so2,total_voc,total_nox
SF11E314711,,1621611490.25356,306.158625,,3.479911,4.106295,34.3211,788.57268,1.825997,0.576671,0.46845,8.289645,1.156784
SF11E321151,,,19.05429593,,,,,,,,,,
SF11E321183,,34590262.588599,19.05429593,,0.558073,0.658526,6.514179,74.388039,0.317839,0.106824,0.047531,1.535597,0.084233
SF11E321184,,129242514.64309098,41.16281437,,0.467872,0.552089,4.614448,106.023049,0.245504,0.077533,0.062983,1.114537,0.155529
SF11E321158,,14083582.610713001,20.90264418,,0.388183,0.458055,4.789482,38.422645,0.227477,0.077973,0.026004,1.120866,0.032684
SF11E320070,,4942068018.429156,269.08293363,,22.160353,26.149217,243.437267,3739.145475,12.243916,4.02555,2.303523,57.867284,4.872073
SF11E318980,,18711249869.861427,866.5886869999999,,61.306244,72.34136799999999,700.914027,8929.178519000001,34.552053,11.52639,5.622819,165.691865,10.726285
SF11E320765,,16310617830.810543,1254.0894617,,54.417105,64.212183,654.2740060000001,6269.6872969999995,31.464528,10.687293,4.11343,153.629837,6.300017
SF11E321030,,49509748.54583699,20.90264418,,0.888782,1.048763,10.599526,106.865037,0.51176,0.173324,0.069549,2.491528,0.111578
SF11E321066,,254428758.667024,20.90264418,,1.591439,1.877898,15.695789,360.631522,0.835068,0.263724,0.214232,3.791036,0.529022
SF11E321012,,262712858.02466,72.94303742,,0.829097,0.978335,8.177086,187.87936,0.435048,0.137393,0.111609,1.975028,0.275607
SF11E321095,,29991684.722938996,18.57244044,,0.211101,0.249099,2.082014,47.837029,0.11077,0.034982,0.028417,0.502873,0.070174
SF11E321622,,,19.15560914,,,,,,,,,,
SF11E321636,,,4.788902284,,,,,,,,,,
SF11E319551,,247029266.28181103,70.05190446,,0.816337,0.963277,8.150288,179.88109,0.430805,0.136685,0.107186,1.96485,0.261433
SF11E318153,,1555620016.0700877,152.0513541,,9.753974,11.509689,112.424934,1373.853825,5.519788,1.846768,0.869805,26.547285,1.615557
SF11E317813,,,71.83353426,,,,,,,,,,
SF11E320080,,,23.94451142,,,,,,,,,,
SF11E321709,,564684066.171846,215.693345,,1.490603,1.758912,14.701277,337.781293,0.782157,0.247014,0.200658,3.550829,0.495503
SF11E321627,,385394296.92917293,102.7093516,,1.167432,1.37757,11.513959,264.548447,0.612581,0.19346,0.157154,2.78099,0.388075
SF11E321706,,1837123475.7742968,152.0513541,,10.811306,12.757341,123.550533,1577.493221,6.091863,2.031887,0.993084,29.208381,1.897095
SF11E321702,,3300088072.740482,304.1027082,,15.86293,18.718258,183.868465,2181.136597,9.002383,3.018051,1.386396,43.38448,2.523981
SF11E321092,,33633264149.78337,2076.073156,,82.809348,97.715031,981.977958,10245.393807,47.542955,16.06937,6.632915,230.99719,10.957209
SF11E320473,,2647438660.5331964,361.2285302,,5.130378,6.053846,51.004116,1141.698018,2.702066,0.855929,0.679563,12.303976,1.664814
SF11E321658,,10696956.705801,80.85782277,,0.216743,0.255757,2.72752,18.705711,0.128332,0.044293,0.013063,0.636718,0.012905
SF11E320494,,5371908352.041326,732.2622018,,21.313035,25.149382,259.248094,2301.197861,12.397547,4.228317,1.529259,60.782054,2.167194
SF11E321661,,153075981.432256,105.434924,,2.318791,2.736174,28.793493,220.043245,1.363372,0.468379,0.150313,6.732945,0.176815
SF11E319510,,166811719468.7687,3931.8444514,,248.088189,292.744063,2748.89759,40644.389869,137.65611,45.401478999999995,25.143997999999996,652.646249,52.178821
SF11E321629,,179886289.93937498,80.94925176,,1.969047,2.323475,23.887735,215.869885,1.143802,0.389741,0.143016,5.602526,0.206579
SF11E321705,,4426890924.962763,574.9030241099999,,21.423118,25.279279000000002,244.15927800000003,3160.006156,12.054929999999999,4.016882,1.985927,57.742670000000004,3.825559
SF11E321725,,37461562.79260499,20.756852,,0.23593,0.278397,2.326892,53.463418,0.123798,0.039097,0.03176,0.562019,0.078427
SF11E317850,,808146714226.6821,10773.401713750001,,1052.530244,1241.985687,11282.551883,192017.96879100002,574.612884,187.22522100000003,117.050954,2691.3625640000005,259.455932
SF11E317811,,591781224874.5968,10008.87496338,,916.087185,1080.982876,9969.781916999998,159401.91706800004,503.832618,165.08209799999997,97.78436400000001,2373.0551680000003,210.799225
SF11E316757,,1062463055711.1989,25313.406039619997,,2129.858584,2513.233128,24568.856371,298962.5582910001,1205.7842900000003,403.54011099999997,189.38351500000002,5800.889096000001,350.76757000000003
SF11E321666,,536704204.13283813,140.1038089,,1.592471,1.879116,15.705966,360.865339,0.83561,0.263895,0.214371,3.793494,0.529365
SF11E311028,,1285941436.9859083,359.4889083,,2.437247,2.875951,24.03768,552.2975,1.278885,0.403887,0.328091,5.80587,0.810184
SF11E321715,,142127066.79710698,143.7955633,,0.778639,0.918794,8.793314,119.020155,0.436144,0.144849,0.074388,2.0822,0.147148
SF11E311052,,5783475983.888081,862.7733799,,5.962412,7.035646,58.805108,1351.125171,3.128628,0.988057,0.802632,14.203317,1.982011
SF11E320638,,230631012.67618003,38.53855522,,3.392003,4.002564,41.528415,352.38835,1.97974,0.676758,0.236045,9.728402,0.317974
SF11E311078,,215161775.564763,38.53855522,,3.210017,3.78782,39.340816,331.395759,1.874525,0.641024,0.222275,9.214718,0.296856
SF11E321619,,8525699.515535003,49.23080506,,0.200088,0.236103,2.525203,16.893179,0.11865,0.040993,0.011861,0.589276,0.011184
SF11E321657,,545411929.7653369,215.693345,,1.43973,1.698882,14.199536,326.253135,0.755463,0.238584,0.19381,3.429643,0.478592
SF11E320576,,,910.6747579600001,,,,,,,,,,
SF11E321653,,,4.788902284,,,,,,,,,,
SF11E321727,,530362091.533403,77.07711044,,6.697497,7.903047,82.066932,692.219567,3.910703,1.33724,0.464178,19.222826,0.620895
SF11E321712,,1498461.908242,4.151370401,,0.047186,0.055679,0.465378,10.692684,0.02476,0.007819,0.006352,0.112404,0.015685
SF11E318654,,2799190819.481662,309.19802118,,16.35991,19.304694,188.910334,2286.520738,9.266635,3.1024000000000003,1.4494630000000002,44.597003,2.675115
SF11E321686,,209018836.88226002,77.5391975,,0.721601,0.85149,7.32577,152.751534,0.383813,0.122546,0.091433,1.761594,0.218929
