id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C4869738238366790,SF11E331703,49.837,-123.026,-8.0,,WF,20190602,,,,27789596.790959,0.623755,0.73603,7.528066,70.398399,0.361366,0.122907,0.046372,1.766789,0.069359,175.58596673943046,17.45622916489146,29.86250146152244,,19.05429593,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,20.0,5.0,8.0,BC,,
SF11C4869748238366790,SF11E331697,49.482,-123.723,-8.0,,WF,20190602,,,,39101780.854443,0.811586,0.957671,9.727176,95.093958,0.468505,0.158955,0.062189,2.284979,0.097046,217.89603285269655,26.07503130945074,37.38335288838393,,19.05429593,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,20.0,5.0,8.0,BC,,
SF11C4873008238367020,SF11E328398,56.269,-114.473,-7.0,,WF,20190602,,,,276786329939.6743,350.475709,413.561336,3789.584842,62254.335387,192.145735,62.806995,38.083466,902.850552,83.11836,94458.80167731261,31635.49275479524,7225.190223852556,,4391.079918,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C4873018238367020,SF11E329989,35.297,-111.407,-7.0,,WF,20190602,,,,6983960385.914099,11.985234,14.142576,127.004813,2262.325525,6.506759,2.111067,1.373034,30.346589,3.101873,6558.294273611689,1210.1281820181607,190.92698806995583,,554.1634695,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,AZ,,
SF11C4873028238367020,SF11E328398,55.688,-114.152,-7.0,,WF,20190602,,,,672152541690.738,1051.241157,1240.464566,11862.041171,161195.367247,588.595742,195.420866,100.699831,2809.174946,199.648952,271004.1715916928,70335.63192925006,32419.292678954636,,11917.0499,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C4873038238367020,SF11E328398,55.69,-114.228,-7.0,,WF,20190602,,,,49963940262.244095,77.734155,91.726302,835.492157,14066.730858,42.492839,13.859021,8.583984,199.223421,18.93898,19232.88678203453,7265.645535071886,1493.5216864453653,,719.0667745,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C4873048238367020,SF11E320494,33.014,-79.879,-4.0,,WF,20190602,,,,81613598950.30208,102.499955,120.949947,1088.091516,19248.709584,55.694608,18.081541,11.689924,259.922158,26.335014,28460.80297056403,10253.930088920639,1674.5642207652695,,1287.507993,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,SC,,
SF11C4873058238367020,SF11E332197,48.116,-98.243,-5.0,,WF,20190602,,,,26868912590.298958,27.369506,32.296018,272.889911,6049.814542,14.434604,4.577471,3.60365,65.801139,8.801877,4721.838096589395,3613.085468500415,64.10853813834976,,1075.133273,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ND,,
SF11C4873068238367020,SF11E328398,55.808,-113.997,-7.0,,WF,20190602,,,,438642529094.2507,511.157465,603.165809,5432.153791,95684.954884,277.890854,90.255343,58.134113,1297.420554,130.734053,132947.18481853776,50840.61900335971,8479.90228640828,,4524.608252,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C4873078238367020,SF11E329262,48.493,-120.116,-7.0,,WF,20190602,,,,12231298800.187584,28.269731,33.358282,281.535861,6265.805209,14.901216,4.723347,3.731189,67.898115,9.124453,4455.407654118464,3748.2753186764617,59.05998999606139,,287.3267239,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,20.0,5.0,8.0,WA,,
SF11C4873088238367020,SF11E328398,55.933,-114.122,-7.0,,WF,20190602,,,,31198881359.33349,64.098991,75.636809,704.254882,10809.797712,35.418361,11.645507,6.659934,167.404162,14.081406,15695.588977383504,5231.992946569711,1563.8576467484,,552.7821505,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C4873098238367020,SF11E332234,46.425,-98.49,-5.0,,WF,20190602,,,,296214636.169332,1.040389,1.227659,10.426781,227.211698,0.550023,0.174762,0.135523,2.512199,0.329219,172.50605150222157,134.6909349468527,3.597804087637788,,53.7330651,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ND,,
SF11C4873108238367020,SF11E317850,57.074,-118.198,-7.0,,WF,20190602,,,,432197076560.1703,494.241204,583.20462,5232.07212,93565.406807,268.19158,86.980031,56.765037,1250.337948,128.44394,126941.64326234533,50164.94330997107,7758.560007769238,,4721.936726,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
