Data are subject to change at any time when further reviewed or when the Warehouse is updated. Questions can be directed to air.data@gov.ab.ca.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Stations-One Parameter Data Comparison Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report generated by airdata.alberta.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report generated on 2021-07-28 16:42:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collection Type: Continuous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term
,,StationName: Airdrie,StationName: Anzac ,StationName: Ardrossan,StationName: Barge Landing,StationName: Beaverlodge,StationName: Bruderheim1,StationName: Buffalo Viewpoint,StationName: Calgary Central-Inglewood,StationName: Calgary Southeast,StationName: Calgary-Varsity,StationName: Caroline,StationName: Cold Lake South,StationName: Conklin,StationName: Drayton Valley,StationName: Drayton Valley,StationName: Edmonton Central,StationName: Edmonton East,StationName: Edmonton McIntyre,StationName: Edmonton McIntyre,StationName: Edmonton McIntyre,StationName: Edmonton McIntyre,StationName: Edmonton South,StationName: Edson,StationName: Edson,StationName: Elk Island,StationName: Evergreen Park,StationName: Fort Chipewyan ,StationName: Fort Hills ,StationName: Fort McKay South ,StationName: Fort McKay-Bertha Ganter ,StationName: Fort McMurray-Athabasca Valley,StationName: Fort McMurray-Patricia McInnes,StationName: Fort Saskatchewan,StationName: Genesee,StationName: Genesee,StationName: Gibbons,StationName: Grande Praire-Henry Pirker,StationName: Hinton,StationName: Hinton,StationName: Horizon ,StationName: Janvier,StationName: Lamont County,StationName: Lethbridge,StationName: Medicine Hat-Crescent Heights,StationName: Power,StationName: Power,StationName: Red Deer-Lancaster,StationName: Red Deer-Riverside,StationName: Redwater,StationName: Sherwood Park,StationName: Smoky Heights,StationName: St. Albert,StationName: ST. LINA,StationName: Steeper,StationName: Stony Mountain,StationName: Surmont 2,StationName: Tomahawk,StationName: Tomahawk,StationName: Wapasu
,,Station ID: 1564,Station ID: 1225,Station ID: 1503,Station ID: 1072,Station ID: 1168,Station ID: 1556,Station ID: 1068,Station ID: 1507,Station ID: 1495,Station ID: 1600,Station ID: 1092,Station ID: 1174,Station ID: 1522,Station ID: 1061,Station ID: 1061,Station ID: 1028,Station ID: 1029,Station ID: 1224,Station ID: 1224,Station ID: 1224,Station ID: 1224,Station ID: 1036,Station ID: 1062,Station ID: 1062,Station ID: 1157,Station ID: 1166,Station ID: 1071,Station ID: 1567,Station ID: 1076,Station ID: 1065,Station ID: 1064,Station ID: 1070,Station ID: 1158,Station ID: 1057,Station ID: 1057,Station ID: 1557,Station ID: 1165,Station ID: 1056,Station ID: 1056,Station ID: 1226,Station ID: 1560,Station ID: 1162,Station ID: 1049,Station ID: 1172,Station ID: 1059,Station ID: 1059,Station ID: 1476,Station ID: 1142,Station ID: 1570,Station ID: 1502,Station ID: 1167,Station ID: 1530,Station ID: 1250,Station ID: 1055,Station ID: 1511,Station ID: 1632,Station ID: 1053,Station ID: 1053,Station ID: 1488
,,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent
,,StationLatitude: 51.268227,StationLatitude: 56.44928,StationLatitude: 53.5545,StationLatitude: 57.19823,StationLatitude: 55.1963,StationLatitude: 53.805629,StationLatitude: 56.9965,StationLatitude: 51.030789,StationLatitude: 50.955118,StationLatitude: 51.082631,StationLatitude: 51.947025,StationLatitude: 54.4138811,StationLatitude: 55.63233,StationLatitude: 53.21915,StationLatitude: 53.21915,StationLatitude: 53.54444,StationLatitude: 53.54821,StationLatitude: 53.48598,StationLatitude: 53.48598,StationLatitude: 53.48598,StationLatitude: 53.48598,StationLatitude: 53.50006,StationLatitude: 53.5789,StationLatitude: 53.5789,StationLatitude: 53.68236,StationLatitude: 55.1175,StationLatitude: 58.7084,StationLatitude: 57.3489,StationLatitude: 57.14908,StationLatitude: 57.18945,StationLatitude: 56.73268,StationLatitude: 56.75135,StationLatitude: 53.698833,StationLatitude: 53.30651,StationLatitude: 53.30651,StationLatitude: 53.827241,StationLatitude: 55.176667,StationLatitude: 53.4273,StationLatitude: 53.4273,StationLatitude: 57.30372,StationLatitude: 55.90329,StationLatitude: 53.760361,StationLatitude: 49.716184,StationLatitude: 50.049003,StationLatitude: 53.633,StationLatitude: 53.633,StationLatitude: 52.240901,StationLatitude: 52.298677,StationLatitude: 53.951834,StationLatitude: 53.53209,StationLatitude: 55.402778,StationLatitude: 53.62707057,StationLatitude: 54.215961,StationLatitude: 53.1353,StationLatitude: 55.62141,StationLatitude: 56.2124673,StationLatitude: 53.37244,StationLatitude: 53.37244,StationLatitude: 57.25919722
,,Station Longitude: -114.037677,Station Longitude: -111.03722,Station Longitude: -113.1444,Station Longitude: -111.59962,Station Longitude: -119.3968,Station Longitude: -112.925851,Station Longitude: -111.59288,Station Longitude: -114.008836,Station Longitude: -113.969792,Station Longitude: -114.139072,Station Longitude: -114.697645,Station Longitude: -110.2330575,Station Longitude: -111.078872,Station Longitude: -114.97879,Station Longitude: -114.97879,Station Longitude: -113.49876,Station Longitude: -113.36809,Station Longitude: -113.46476,Station Longitude: -113.46476,Station Longitude: -113.46476,Station Longitude: -113.46476,Station Longitude: -113.52605,Station Longitude: -116.42761,Station Longitude: -116.42761,Station Longitude: -112.86806,Station Longitude: -118.764658,Station Longitude: -111.1764,Station Longitude: -111.63969085,Station Longitude: -111.64262,Station Longitude: -111.64045,Station Longitude: -111.3902,Station Longitude: -111.47637,Station Longitude: -113.223194,Station Longitude: -114.20035,Station Longitude: -114.20035,Station Longitude: -113.327174,Station Longitude: -118.8075,Station Longitude: -117.54407,Station Longitude: -117.54407,Station Longitude: -111.73962,Station Longitude: -110.749756,Station Longitude: -112.880167,Station Longitude: -112.800586,Station Longitude: -110.681328,Station Longitude: -114.4199,Station Longitude: -114.4199,Station Longitude: -113.76548,Station Longitude: -113.79354,Station Longitude: -113.105857,Station Longitude: -113.32098,Station Longitude: -118.281389,Station Longitude: -113.6118142,Station Longitude: -111.503304,Station Longitude: -117.08834,Station Longitude: -111.17269,Station Longitude: -110.9091168,Station Longitude: -114.76863,Station Longitude: -114.76863,Station Longitude: -111.0385833
,,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass
,,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 30C with FDMS (self referencing),Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP),Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 30C with FDMS (self referencing) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Beta Attenuation (BAM)  @ 35RH  with data reported at actual ambient conditions,Method Name: Beta Attenuation (Met One E-BAM),Method Name: Broadband Spectroscopy (T640),Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 30C with FDMS (self referencing) with data reported at actual ambient conditions,Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 40C,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP),Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP),Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP),Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 40C,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 40C,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Light Scattering Photometer (Grimm),Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP),Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 40C,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP),Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions
,,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3
,,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC152,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC142,VvcCode: VVC143,VvcCode: VVC148,VvcCode: VVC143,VvcCode: VVC1029,VvcCode: VVC141,VvcCode: VVC153,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC148,VvcCode: VVC150,VvcCode: VVC143,VvcCode: VVC142,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC142,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC142,VvcCode: VVC150,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC150,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC139,VvcCode: VVC143,VvcCode: VVC142,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC150,VvcCode: VVC143,VvcCode: VVC143,VvcCode: VVC142,VvcCode: VVC143,VvcCode: VVC143
IntervalStart,IntervalEnd,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue,MeasurementValue
