id,event_id,latitude,longitude,type,area,date_time,elevation,slope,state,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,canopy,event_url,fccs_number,sf_cffeps_hourly_area,sf_cffeps_hourly_heat,sf_event_guid,sf_server,sf_stream_name,timezone,veg
SF11C47113518241268830,SF11E314711,63.921,-146.055,WF,1083.035703,201905200000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1,1,0,0,0.32,0.03,1,35,0.01,7,8,9,12,80,40,4.848982842,1.292774595,0,10.39640763,6,6,6,6,40,80,13,30,4,14,3,22,5,8,41525006903,61.518598,72.591939,671.259803,10614.06815,33.877584,13.98022,11.110751,6.518703,159.717059,0.56,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,88,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / sphagnum moss forest
SF11C47113518241268830,SF11E314711,63.921,-146.055,WF,1083.035703,201905210000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1,1,0,0,0.32,0.03,1,35,0.01,7,8,9,12,80,40,4.848982842,1.292774595,0,10.39640763,6,6,6,6,40,80,13,30,4,14,3,22,5,8,41525006903,61.518598,72.591939,671.259803,10614.06815,33.877584,13.98022,11.110751,6.518703,159.717059,0.56,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,88,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / sphagnum moss forest
SF11C47113518241268830,SF11E314711,63.921,-146.055,WF,1083.035703,201905220000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1,1,0,0,0.32,0.03,1,35,0.01,7,8,9,12,80,40,4.848982842,1.292774595,0,10.39640763,6,6,6,6,40,80,13,30,4,14,3,22,5,8,41525006903,61.518598,72.591939,671.259803,10614.06815,33.877584,13.98022,11.110751,6.518703,159.717059,0.56,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,88,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / sphagnum moss forest
SF11C47113518241268830,SF11E314711,63.921,-146.055,WF,1083.035703,201905230000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1,1,0,0,0.32,0.03,1,35,0.01,7,8,9,12,80,40,4.848982842,1.292774595,0,10.39640763,6,6,6,6,40,80,13,30,4,14,3,22,5,8,41525006903,61.518598,72.591939,671.259803,10614.06815,33.877584,13.98022,11.110751,6.518703,159.717059,0.56,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,88,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / sphagnum moss forest
SF11C47113518241268830,SF11E314711,63.921,-146.055,WF,1083.035703,201905240000-09:00,0,10,Unknown,2240,2810001000,0.2,0.3,1,1,0,0,0.32,0.03,1,35,0.01,7,8,9,12,80,40,4.848982842,1.292774595,0,10.39640763,6,6,6,6,40,80,13,30,4,14,3,22,5,8,41525006903,61.518598,72.591939,671.259803,10614.06815,33.877584,13.98022,11.110751,6.518703,159.717059,0.56,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,88,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Black spruce / sphagnum moss forest
SF11C47113618241268830,SF11E314711,63.96,-146.152,WF,270.0120498,201905200000-09:00,0,10,Unknown,2240,2810001000,0.3,0.4,0.8,3,3,0,0.36,0.02,2,4,0,7,8,9,12,80,40,2.945508163,2.516992573,0,10.43026582,6,6,6,6,40,80,13,30,4,14,3,22,5,8,3062073522,17.093356,20.170165,199.905595,2258.80664,9.744605,2.541779,3.277358,1.445436,47.112002,12.28,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,93,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Paper birch - quaking aspen forest
SF11C47113618241268830,SF11E314711,63.96,-146.152,WF,270.0120498,201905210000-09:00,0,10,Unknown,2240,2810001000,0.3,0.4,0.8,3,3,0,0.36,0.02,2,4,0,7,8,9,12,80,40,2.945508163,2.516992573,0,10.43026582,6,6,6,6,40,80,13,30,4,14,3,22,5,8,3062073522,17.093356,20.170165,199.905595,2258.80664,9.744605,2.541779,3.277358,1.445436,47.112002,12.28,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,93,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Paper birch - quaking aspen forest
SF11C47113618241268830,SF11E314711,63.96,-146.152,WF,270.0120498,201905220000-09:00,0,10,Unknown,2240,2810001000,0.3,0.4,0.8,3,3,0,0.36,0.02,2,4,0,7,8,9,12,80,40,2.945508163,2.516992573,0,10.43026582,6,6,6,6,40,80,13,30,4,14,3,22,5,8,3062073522,17.093356,20.170165,199.905595,2258.80664,9.744605,2.541779,3.277358,1.445436,47.112002,12.28,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,93,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Paper birch - quaking aspen forest
SF11C47113618241268830,SF11E314711,63.96,-146.152,WF,270.0120498,201905230000-09:00,0,10,Unknown,2240,2810001000,0.3,0.4,0.8,3,3,0,0.36,0.02,2,4,0,7,8,9,12,80,40,2.945508163,2.516992573,0,10.43026582,6,6,6,6,40,80,13,30,4,14,3,22,5,8,3062073522,17.093356,20.170165,199.905595,2258.80664,9.744605,2.541779,3.277358,1.445436,47.112002,12.28,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,93,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Paper birch - quaking aspen forest
SF11C47113618241268830,SF11E314711,63.96,-146.152,WF,270.0120498,201905240000-09:00,0,10,Unknown,2240,2810001000,0.3,0.4,0.8,3,3,0,0.36,0.02,2,4,0,7,8,9,12,80,40,2.945508163,2.516992573,0,10.43026582,6,6,6,6,40,80,13,30,4,14,3,22,5,8,3062073522,17.093356,20.170165,199.905595,2258.80664,9.744605,2.541779,3.277358,1.445436,47.112002,12.28,http://tomcat-sf/smartfire/events/32faeae4-e280-4abe-afb8-1a51051e3f7c,93,[],[],32faeae4-e280-4abe-afb8-1a51051e3f7c,tomcat-sf,CWFIS-Hotspots,-9,Paper birch - quaking aspen forest
SF11C47121618241268830,SF11E318980,58.963,-127.397,WF,19.05429593,201905210000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.954601719,2.380528048,0,9.614925594,6,6,6,6,40,80,13,30,4,14,4,21,5,8,53195520.75,1.025553,1.21015,12.204988,124.629817,0.589873,0.131317,0.199631,0.08095,2.869697,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47121618241268830,SF11E318980,58.963,-127.397,WF,19.05429593,201905220000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.954601719,2.380528048,0,9.614925594,6,6,6,6,40,80,13,30,4,14,4,21,5,8,53195520.75,1.025553,1.21015,12.204988,124.629817,0.589873,0.131317,0.199631,0.08095,2.869697,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47121618241268830,SF11E318980,58.963,-127.397,WF,19.05429593,201905230000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.954601719,2.380528048,0,9.614925594,6,6,6,6,40,80,13,30,4,14,4,21,5,8,53195520.75,1.025553,1.21015,12.204988,124.629817,0.589873,0.131317,0.199631,0.08095,2.869697,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47121618241268830,SF11E318980,58.963,-127.397,WF,19.05429593,201905240000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.954601719,2.380528048,0,9.614925594,6,6,6,6,40,80,13,30,4,14,4,21,5,8,53195520.75,1.025553,1.21015,12.204988,124.629817,0.589873,0.131317,0.199631,0.08095,2.869697,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47121718241268830,SF11E318980,58.964,-127.333,WF,19.05429593,201905210000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.964162831,2.358297992,0,9.512280382,6,6,6,6,40,80,13,30,4,14,4,21,5,8,53244347.37,1.019826,1.203398,12.129062,124.340222,0.586391,0.131371,0.198399,0.080708,2.852089,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47121718241268830,SF11E318980,58.964,-127.333,WF,19.05429593,201905220000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.964162831,2.358297992,0,9.512280382,6,6,6,6,40,80,13,30,4,14,4,21,5,8,53244347.37,1.019826,1.203398,12.129062,124.340222,0.586391,0.131371,0.198399,0.080708,2.852089,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47121718241268830,SF11E318980,58.964,-127.333,WF,19.05429593,201905230000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.964162831,2.358297992,0,9.512280382,6,6,6,6,40,80,13,30,4,14,4,21,5,8,53244347.37,1.019826,1.203398,12.129062,124.340222,0.586391,0.131371,0.198399,0.080708,2.852089,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47121718241268830,SF11E318980,58.964,-127.333,WF,19.05429593,201905240000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,1.964162831,2.358297992,0,9.512280382,6,6,6,6,40,80,13,30,4,14,4,21,5,8,53244347.37,1.019826,1.203398,12.129062,124.340222,0.586391,0.131371,0.198399,0.080708,2.852089,,http://tomcat-sf/smartfire/events/341df66b-7ea6-418f-a7bf-d293c5c7b2da,,[],[],341df66b-7ea6-418f-a7bf-d293c5c7b2da,tomcat-sf,CWFIS-Hotspots,-8,
SF11C47121918241268830,SF11E320070,58.206,-120.426,WF,169.8775363,201905210000-08:00,0,10,BC,CA02,2810001000,,,,,,,,,,,,7,8,9,12,80,40,3.809652174,2.442427119,0,11.14116374,6,6,6,6,40,80,13,30,4,14,3,20,5,8,1916360097,11.612248,13.702453,133.648468,1645.647815,6.566557,1.942905,2.195833,1.040846,31.565116,,http://tomcat-sf/smartfire/events/7f4d5e0e-4698-4223-b7c9-c2ac9fdf2159,,[],[],7f4d5e0e-4698-4223-b7c9-c2ac9fdf2159,tomcat-sf,CWFIS-Hotspots,-8,
